x                        Q2                 y       z                  PhT^2              Mult        
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.25 [0.23-0.27)   3.3611 +- 0.0534 +- 0.0989
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.29 [0.27-0.30)   2.8312 +- 0.0560 +- 0.1018
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.32 [0.30-0.35)   2.3411 +- 0.0393 +- 0.1055
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.38 [0.35-0.40)   1.8832 +- 0.0359 +- 0.1105
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.43 [0.40-0.46)   1.4814 +- 0.0294 +- 0.1144
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.49 [0.46-0.52)   1.0957 +- 0.0249 +- 0.1206
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.56 [0.52-0.60)   0.8409 +- 0.0192 +- 0.1263
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.64 [0.60-0.68)   0.5793 +- 0.0155 +- 0.1334
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.72 [0.68-0.76)   0.4503 +- 0.0139 +- 0.1418
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.81 [0.76-0.87)   0.3182 +- 0.0101 +- 0.1499
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   0.94 [0.87-1.00)   0.1985 +- 0.0070 +- 0.1627
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   1.06 [1.00-1.12)   0.1396 +- 0.0064 +- 0.1759
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   1.18 [1.12-1.24)   0.0966 +- 0.0052 +- 0.1854
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   1.31 [1.24-1.38)   0.0702 +- 0.0042 +- 0.1984
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   1.45 [1.38-1.52)   0.0525 +- 0.0036 +- 0.2127
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   1.60 [1.52-1.68)   0.0315 +- 0.0026 +- 0.2288
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   1.77 [1.68-1.85)   0.0274 +- 0.0023 +- 0.2446
0.1488 [0.1000-0.2100)    9.8 [7.0-16.0)   0.230   0.20 [0.20-0.30)   1.95 [1.85-2.05)   0.0160 +- 0.0017 +- 0.2712
